plate,mjd,fiber,u,g,r,i,z,redshift,temperature,logg,metallicity,class
1015.4058280238883,59015.40582802389,15.405828023888228,18.44551725056796,17.918984443701525,14.090831708789068,15.405828023888228,16.73386220986082,0.26323422547591224,2773.4077951224817,3.3887216567931757,-0.23383765543318913,galaxy
1019.4700188290499,59019.47001882905,19.47001882904988,20.4907105488654,22.482000271570413,19.606826886428475,19.47001882904988,14.751462543155139,0.3966662687828365,5402.124279568668,3.2793847165898047,-0.5258225008868338,galaxy
1017.9795839547719,59017.97958395477,17.979583954771915,12.00031433360784,16.04365715101955,17.450030617495432,17.979583954771915,16.752919013593626,0.32522335535927005,7956.619196093975,3.445107885750513,-0.4490717517196916,galaxy
1019.6452545467434,59019.64525454674,19.64525454674345,14.903222650892745,19.928575970071996,17.212626379018364,19.64525454674345,15.33245300963872,0.6920219034921098,6744.156367985626,4.171359350267398,-0.7183173468472193,galaxy
1018.9937437386342,59018.99374373863,18.993743738634137,19.029424283082953,13.885100602866641,18.761924808362128,18.993743738634137,12.468736036223891,0.7307296988578157,6091.161596295963,4.665738435948798,-0.2910369638214125,galaxy
1012.1931103472203,59012.19311034722,12.19311034722032,16.153210676698507,16.342982671438573,16.46062295309719,12.19311034722032,13.477913233448804,0.021024497165960415,7451.442382752752,4.303800024354344,-0.2709482742096856,star
1017.9904671378315,59017.99046713783,17.990467137831526,16.1225220153163,18.174613562908238,14.454469581668015,17.990467137831526,13.733753732056256,0.9462974593350028,5754.782200905241,3.1666562198610917,0.6101524552760937,galaxy
1013.0913099007948,59013.091309900796,13.09130990079487,19.897219688435438,12.908991969694362,16.728515236837165,13.09130990079487,13.140635807516464,0.21814638541001613,6214.683349037187,2.5421149793790705,0.822123243250201,galaxy
1017.2957348587763,59017.29573485877,17.295734858776342,17.195587512699472,21.25979495485859,21.289502360383963,17.295734858776342,12.457420396648704,0.8685660617976736,5422.439293726583,1.7907077469749704,-0.07455033286762201,galaxy
1017.3589777883099,59017.35897778831,17.358977788309826,18.203453894405104,19.022430489717355,23.322756094083125,17.358977788309826,16.977839802317963,0.27264135874894985,5291.648862917843,2.654998110229704,-0.15672350869291116,galaxy
1013.837979423866,59013.837979423864,13.837979423866027,17.894652268022135,19.813193099467203,10.630821908620065,13.837979423866027,11.07444392053662,1.4985498937034198,9920.791610009615,2.107334969140026,-0.6202221837260048,quasar
1019.3171728906017,59019.3171728906,19.317172890601633,18.495980153037692,12.871551722918374,17.042934002544794,19.317172890601633,12.90853355085408,0.9166423807538668,6658.983093908616,2.2959964670956503,0.06508352599755458,galaxy
1019.083896562796,59019.0838965628,19.08389656279603,20.106899292412685,17.431696497423076,18.47939677990717,19.08389656279603,19.630599773173305,0.3544904542647421,5983.295407776573,3.078580046326292,-0.46260749544292723,galaxy
1011.179068546907,59011.17906854691,11.179068546907024,20.161236510096415,15.517365110984032,14.291880457125561,11.179068546907024,17.275306319493648,0.11689713601992209,5291.653970910157,4.2682325575571305,-0.2930021231132189,galaxy
